,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,場所,レース名,コース,天候,地面,発走
0,1:12.3,37.7,2,,3.4,,牡3,54,7,,1,[東]伊藤伸一,,510.0,1-1,田頭勇貴,454(-6),ドラゴンズバック,14,木幡育也,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
1,1:12.7,37.5,1,,2.0,,牡3,56,3,2.1/2,2,[東]田島俊明,,200.0,6-6,ＹＧＧホースクラブ,476(0),スターファイター,6,マーフィ,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
2,1:12.7,37.8,7,,26.9,,牡3,56,1,クビ,3,[東]和田雄二,,130.0,2-2,益田修一,448(+2),イデアイホマジョル,2,丸山元気,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
3,1:12.9,37.9,3,,6.4,,牡3,56,7,1,4,[東]古賀史生,,77.0,5-3,鈴木康弘,520(0),ソラン,13,吉田豊,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
4,1:13.5,37.6,4,,15.2,,牡3,56,6,3.1/2,5,[東]水野貴広,,51.0,12-11,コスモヴューファーム,446(-2),グランドストローク,11,武藤雅,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
5,1:13.6,38.5,6,,26.6,,牝3,53,4,3/4,6,[東]相沢郁,,,6-7,石瀬浩三,466(+16),キク,8,野中悠太,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
6,1:13.7,38.8,8,,27.9,,牡3,56,2,3/4,7,[東]清水英克,,,2-3,上野直樹,482(-6),コッヘル,4,津村明秀,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
7,1:13.8,37.5,16,,601.4,,牡3,56,6,クビ,8,[東]武市康男,,,13-13,西村新一郎,468(+2),キリシマダイオウ,12,菅原隆一,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
8,1:13.8,38.7,9,,33.8,,牡3,56,5,クビ,9,[東]藤原辰雄,,,6-7,渡邊善男,456(+4),ゼンダンロマン,9,松岡正海,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
9,1:14.0,38.4,5,,23.2,,牡3,56,3,1,10,[東]久保田貴,,,9-9,尾田信夫,436(-2),ランバダフレイバー,5,内田博幸,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
10,1:14.6,39.1,11,,51.1,,牡3,56,4,3.1/2,11,[東]加藤士津,,,9-9,染谷幸雄,446(0),タニセンシロッコ,7,江田照男,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
11,1:14.7,38.3,14,,165.0,,牡3,56,8,1/2,12,[東]的場均,,,13-13,森中蕃,482(+2),シゲルケレス,15,的場勇人,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
12,1:14.7,39.9,13,,114.1,,牡3,56,2,クビ,13,[東]畠山吉宏,,,2-3,河原義宏,504(+10),キンバーライト,3,ミナリク,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
13,1:14.8,37.8,12,,87.3,,牡3,56,5,1/2,14,[東]加藤和宏,,,16-16,平本敏夫,522(0),ミスターサスケ,10,横山和生,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
14,1:14.8,39.2,10,,40.4,,牡3,56,8,ハナ,15,[東]和田雄二,,,9-11,ターフ・スポート,466(+2),グランバル,16,大野拓弥,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
15,1:15.0,38.2,15,,221.2,,牡3,55,1,1.1/4,16,[東]佐藤吉勝,,,15-15,スピードファーム,474(+16),ソリスト,1,菊沢一樹,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
0,1:56.9,38.9,2,,3.1,,牝3,54,6,,1,[東]上原博之,,510.0,3-3-3-2,成塚清志,442(+4),ナリノクリスティー,10,Ｍ．デム,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
1,1:57.6,39.2,4,,5.9,,牝3,54,5,4,2,[東]中舘英二,,200.0,6-7-6-4,吉岡輝美,434(+8),タッシーアレッタ,8,松岡正海,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
2,1:57.7,39.5,3,,5.6,,牝3,54,8,3/4,3,[東]高市圭二,,130.0,5-5-4-4,栗本博晴,480(-2),クリノテルチャン,14,横山和生,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
3,1:58.1,40.4,1,,3.0,,牝3,54,5,2.1/2,4,[東]奥平雅士,,77.0,2-2-1-1,了徳寺健二ホールディングス,424(-2),ナーシサステソーロ,7,武藤雅,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
4,1:58.5,40.1,5,,7.9,,牝3,54,7,2.1/2,5,[東]大竹正博,,51.0,8-8-6-6,社台レースホース,450(-4),ダンスグルーヴィ,12,田辺裕信,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
