,Unnamed: 0,3平均着順,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,天候,地面,発走,場所,レース名,ラウンド数,コース,日付
0,0,3.75,2:12.0,34.0,4.0,,11.2,,牡5,56.0,8.0,,1,[西]音無秀孝,,"6,770.0",1-1-1-1,社台レースホース,442,スティッフェリオ,9,丸山元気,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
1,1,3.25,2:12.3,33.4,3.0,,4.9,,牡5,56.0,1.0,1.3/4,2,[東]菊沢隆徳,,"2,720.0",9-9-8-8,野田みづき,476,ミッキースワロー,1,菊沢一樹,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
2,2,7.25,2:12.4,33.6,6.0,,21.4,,牡4,56.0,4.0,1/2,3,[西]野中賢二,,"1,710.0",7-7-8-5,カナヤマホールディングス,494,グレイル,4,戸崎圭太,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
3,3,3.25,2:12.4,33.9,1.0,,2.2,,牡5,58.0,7.0,ハナ,4,[東]藤沢和雄,,"1,000.0",7-7-5-5,キャロットファーム,482,レイデオロ,8,福永祐一,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
4,4,1.25,2:12.5,33.9,5.0,,14.6,,牡5,56.0,3.0,3/4,5,[東]林徹,,670.0,6-6-7-5,広尾レース,490,クレッシェンドラヴ,3,内田博幸,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
5,5,4.75,2:12.5,34.3,7.0,,25.6,,牡4,56.0,2.0,ハナ,6,[東]藤沢和雄,,,3-3-2-2,山本英俊,504,ゴーフォザサミット,2,石橋脩,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
6,6,5.0,2:12.6,33.6,8.0,,79.2,,牡8,56.0,8.0,3/4,7,[東]上原博之,,,10-9-10-9,国本哲秀,450,ショウナンバッハ,10,吉田豊,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
7,7,5.75,2:12.8,34.3,10.0,,286.6,,牡6,56.0,6.0,1.1/4,8,[東]牧光二,,,5-5-5-3,高嶋祐子,480,エンジニア,6,津村明秀,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
8,8,0.75,2:13.5,35.1,2.0,,3.0,,牡5,58.0,7.0,4,9,[東]畠山吉宏,,,3-3-4-3,ウイン,494,ウインブライト,7,松岡正海,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
9,9,7.0,2:16.2,38.0,9.0,,171.2,,セ4,56.0,5.0,大,10,[西]森秀行,,,2-2-2-9,トニー倶楽部,444,トニーファイブ,5,藤田菜七,**,曇 ,良 ,15,中山,第65回産経賞オールカマー(G2),11R,芝右外2200m ,2019-09-22
10,0,2.0,1:44.5,33.8,1.0,,2.3,,牝4,55.0,6.0,,1,[東]菊沢隆徳,,"6,791.0",1-1-1,サンデーレーシング,508,アエロリット,9,モレイラ,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
11,1,3.25,1:44.7,33.2,3.0,,5.3,,牡3,55.0,4.0,1.1/4,2,[東]木村哲也,,"2,726.0",6-8-8,サンデーレーシング,468,ステルヴィオ,5,ルメール,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
12,2,6.5,1:44.7,33.9,6.0,,15.8,,牡4,58.0,1.0,クビ,3,[西]中竹和也,,"1,713.0",2-2-2,石川達絵,504,キセキ,1,川田将雅,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
13,3,5.5,1:44.7,33.7,8.0,,38.4,,牡7,56.0,3.0,ハナ,4,[西]藤原英昭,,"1,000.0",2-3-3,キャロットファーム,482,ステファノス,3,福永祐一,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
14,4,1.0,1:44.9,33.6,4.0,,7.5,,牡3,56.0,2.0,1,5,[西]平田修,,670.0,8-6-5,亀田和弘,466,ケイアイノーテック,2,藤岡佑介,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
15,5,1.25,1:45.1,33.6,2.0,,4.7,,牡4,56.0,4.0,1.1/4,6,[西]池江泰寿,,,9-9-8,サトミホースカンパニー,484,サトノアーサー,4,戸崎圭太,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
16,6,4.5,1:45.2,33.9,5.0,,8.5,,牡4,56.0,5.0,クビ,7,[東]菊沢隆徳,,,5-6-5,大城敬三,494,ダイワキャグニー,7,横山典弘,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
17,7,4.5,1:45.2,33.4,11.0,,98.2,,牡7,56.0,7.0,アタマ,8,[西]橋田満,,,10-11-11,永井啓弍,506,スズカデヴィアス,10,三浦皇成,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
18,8,5.75,1:45.4,33.5,10.0,,53.3,,牡7,56.0,7.0,1.1/4,9,[西]藤岡健一,,,12-12-11,吉田照哉,492,サウンズオブアース,11,田辺裕信,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
19,9,5.5,1:45.9,34.4,7.0,,32.1,,セ6,56.0,5.0,3,10,[東]国枝栄,,,11-9-8,キャロットファーム,498,サンマルティン,6,池添謙一,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
20,10,8.0,1:46.6,34.6,13.0,,467.0,,牡8,56.0,6.0,4,11,[東]和田勇介,,,13-12-13,福井明,470,アクションスター,8,大野拓弥,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
21,11,3.5,1:46.8,35.5,9.0,,42.0,,牡3,55.0,8.0,1.1/4,12,[西]池添兼雄,,,6-5-5,カナヤマホールディングス,482,カツジ,12,松山弘平,**,晴 ,良 ,15,東京,第69回毎日王冠(G2),11R,芝左1800m ,2018-10-07
