,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,発走,場所,レース名,ラウンド数,コース,天候,地面,日付
0,2:25.9,36.5,3,,5.1,,牡5,57,3,,1,[西]庄野靖志,,"30,319.2",7-7-6-5,ＮＩＣＫＳ,516(+2),スワーヴリチャード,5,マーフィ,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
1,2:26.0,36.9,5,,10.5,,牝3,53,1,3/4,2,[東]国枝栄,,"12,091.2",4-4-3-2,鈴木隆司,466(+2),カレンブーケドール,1,津村明秀,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
2,2:26.2,36.6,2,,4.3,,牡4,57,2,1.1/2,3,[西]友道康夫,,"7,545.6",6-6-6-8,金子真人ホールディングス,458(-4),ワグネリアン,2,川田将雅,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
3,2:26.5,36.3,12,,50.4,,牡6,57,8,1.3/4,4,[西]友道康夫,,"4,500.0",15-15-15-13,金子真人ホールディングス,506(+2),マカヒキ,14,武豊,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
4,2:26.6,36.7,4,,6.2,,牡4,57,4,クビ,5,[西]友道康夫,,"3,000.0",12-12-12-12,金子真人ホールディングス,488(0),ユーキャンスマイル,6,岩田康誠,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
5,2:26.6,37.9,14,,120.9,,牡5,57,4,クビ,6,[東]菊沢隆徳,,,1-1-1-1,大城敬三,508(+6),ダイワキャグニー,7,石橋脩,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
6,2:26.9,37.7,9,,23.8,,牡4,57,7,1.1/2,7,[西]友道康夫,,,4-4-3-2,Ｇリビエール・レーシング,462(-16),エタリオウ,13,横山典弘,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
7,2:27.1,37.4,7,,15.4,,牡5,57,3,1.1/4,8,[西]角田晃一,,,9-9-9-8,市川義美ホールディングス,488(0),ムイトオブリガード,4,ルメール,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
8,2:27.1,37.6,8,,20.0,,牡7,57,6,クビ,9,[西]友道康夫,,,7-7-6-7,佐々木主浩,464(0),シュヴァルグラン,11,スミヨン,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
9,2:27.3,36.9,6,,15.4,,牡6,57,5,1.1/2,10,[西]藤原英昭,,,13-13-12-15,飯塚知一,440(-2),ルックトゥワイス,9,デットー,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
10,2:28.1,38.4,1,,4.2,,牡5,57,5,5,11,[東]藤沢和雄,,,9-11-9-8,キャロットファーム,486(+4),レイデオロ,8,ビュイッ,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
11,2:28.9,39.5,15,,244.4,,牡6,57,2,5,12,[西]杉山晴紀,,,3-3-3-5,ウイン,514(-2),ウインテンダネス,3,田辺裕信,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
12,2:29.1,39.4,11,,34.3,,牡4,57,8,1.1/2,13,[東]堀宣行,,,9-9-9-8,金子真人ホールディングス,480(+8),ジナンボー,15,ムーア,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
13,2:29.2,40.1,10,,30.7,,牡5,57,6,クビ,14,[西]音無秀孝,,,2-2-2-2,サンデーレーシング,488(-6),ダンビュライト,10,松若風馬,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
14,2:29.8,39.5,13,,58.0,,牡4,57,7,3.1/2,15,[西]矢作芳人,,,14-14-14-13,田中成奉,486(+2),タイセイトレイル,12,Ｍ．デム,**,15,東京,第39回ジャパンカップ(G1),11R,芝左2400m ,曇 ,重 ,2019-11-24
0,1:33.0,33.9,3,,6.4,,牡4,57,3,,1,[西]音無秀孝,,"11,357.0",4-5,シルクレーシング,472(-4),インディチャンプ,5,池添謙一,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
1,1:33.2,34.2,1,,2.4,,牡4,57,7,1.1/2,2,[西]中内田充,,"4,502.0",4-3,ダノックス,506(-2),ダノンプレミアム,14,川田将雅,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
2,1:33.3,33.7,6,,17.6,,牡5,57,4,クビ,3,[西]池江泰寿,,"2,851.0",10-12,Ｇ１レーシング,498(+6),ペルシアンナイト,7,マーフィ,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
3,1:33.4,34.6,10,,46.8,,牡5,57,2,1/2,4,[西]昆貢,,"1,700.0",1-1,寺田千代乃,468(+4),マイスタイル,3,田中勝春,**,15,京都,第36回マイルチャンピオンS(G1),11R,芝右外1600m ,晴 ,良 ,2019-11-17
